序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
706,limits_and_fits,极限与配合,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.limits_and_fits
707,line,线,几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.line
708,line_profile_tolerance,线轮廓度公差,公差 / 尺寸 / 基准（PMI） / 特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch） / 检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.line_profile_tolerance
709,linear_dimension,线性尺寸,公差 / 尺寸 / 基准（PMI） / 制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 检测 / PMI（inspection & tolerance）,aic_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_elements/sys/4_schema.htm#aic_draughting_elements.linear_dimension
710,linear_flexible_and_pinion_pair,线性柔性与小齿轮副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.linear_flexible_and_pinion_pair
711,linear_flexible_and_planar_curve_pair,线性柔性与平面曲线副,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.linear_flexible_and_planar_curve_pair
712,linear_flexible_link_representation,线性柔性链接表示,机械 / 运动学 / 传动 / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 运动学 / 仿真（kinematics & simulation） / 元模型 / 表示框架（representation framework）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.linear_flexible_link_representation
713,linear_path,线性路径,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation） / 2D 绘图 / 草图（2D drafting & sketch）,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.linear_path
714,linear_profile,线性轮廓,特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.linear_profile
715,linearized_table_function,线性化表函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
716,link_motion_relationship,链接运动关系,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.link_motion_relationship
717,link_motion_representation_along_path,沿路径的链接运动表示,机械 / 运动学 / 传动 / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 运动学 / 仿真（kinematics & simulation） / 元模型 / 表示框架（representation framework）,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.link_motion_representation_along_path
718,link_motion_transformation,链接运动变换,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_motion_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/8_schema.htm#kinematic_motion_representation_schema.link_motion_transformation
719,listed_complex_number_data,列出复合编号数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
720,listed_data,列出数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
721,listed_integer_data,列出整数数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
722,listed_logical_data,列出逻辑数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
723,listed_product_space,列出产品空间,产品 / 配置 / 数据管理（PDM） / 表达式 / 数学 / 矩阵,数据管理 / 配置（PDM & configuration）,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
724,listed_real_data,列出实数数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
725,listed_string_data,列出字符串数据,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
726,literal_number,字面量编号,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
727,local_b_spline,局部B样条,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.local_b_spline
728,local_time,局部时间,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,date_time_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/10_schema.htm#date_time_schema.local_time
729,locally_refined_spline_curve,局部细化样条曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.locally_refined_spline_curve
730,locally_refined_spline_surface,局部细化样条曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.locally_refined_spline_surface
731,locally_refined_spline_volume,局部细化样条体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.locally_refined_spline_volume
732,location_shape_representation,位置形状表示,渲染 / 外观 / 可视化 / 特征 / 加工特征,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.location_shape_representation
733,log10_function,常用对数函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
734,log2_function,底2对数函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
735,log_function,对数函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
736,logical_literal,逻辑字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
737,logical_representation_item,逻辑表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,basic_data_representation_mim,https://www.steptools.com/stds/smrl/data/modules/basic_data_representation/sys/5_mim.htm#basic_data_representation_mim.logical_representation_item
738,loop,环,几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,topology_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/5_schema.htm#topology_schema.loop
739,loss_tangent_measure_with_unit,带单位的损耗相切量,电力 / 物理量 / 计量单位 / 特征 / 加工特征,检测 / PMI（inspection & tolerance）,value_with_unit_extension_mim,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/5_mim.htm#value_with_unit_extension_mim.loss_tangent_measure_with_unit
740,lot_effectivity,批次有效性,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 有效性 / 版本（effectivity & versioning）,effectivity_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/12_schema.htm#effectivity_schema.lot_effectivity
741,low_order_kinematic_pair,低阶运动副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.low_order_kinematic_pair
742,low_order_kinematic_pair_value,低次序运动学副值,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.low_order_kinematic_pair_value
743,low_order_kinematic_pair_with_motion_coupling,带运动耦合的低阶运动副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.low_order_kinematic_pair_with_motion_coupling
744,low_order_kinematic_pair_with_range,带范围的低阶运动副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.low_order_kinematic_pair_with_range
745,luminous_flux_measure_with_unit,带单位的光通量值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.luminous_flux_measure_with_unit
746,luminous_flux_unit,光通量单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.luminous_flux_unit
747,luminous_intensity_measure_with_unit,带单位的发光强度值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.luminous_intensity_measure_with_unit
748,luminous_intensity_unit,光强度单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.luminous_intensity_unit
749,machining_adaptive_control_relationship,加工自适应控制关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_adaptive_control_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_adaptive_control_relationship
750,machining_approach_retract_strategy,加工接近退回策略,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_approach_retract_strategy,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_approach_retract_strategy
751,machining_cutting_component,加工切削组件,NC / 数控加工（CAM）,装配 / 结构（assembly & structure） / 制造 / 工艺规划（CAM & process planning）,aim-machining_cutting_component,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_cutting_component
752,machining_cutting_corner_representation,加工切削角表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_cutting_corner_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_cutting_corner_representation
753,machining_dwell_time_representation,加工停顿时间表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_dwell_time_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_dwell_time_representation
754,machining_execution_resource,加工执行资源,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_execution_resource,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_execution_resource
755,machining_feature_process,加工特征过程,NC / 数控加工（CAM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-machining_feature_process,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_feature_process
756,machining_feature_relationship,加工特征关系,NC / 数控加工（CAM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-machining_feature_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_feature_relationship
757,machining_feature_sequence_relationship,加工特征序列关系,NC / 数控加工（CAM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-machining_feature_sequence_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_feature_sequence_relationship
758,machining_feed_speed_representation,加工进给速度表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_feed_speed_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_feed_speed_representation
759,machining_final_feature_relationship,加工最终特征关系,NC / 数控加工（CAM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-machining_final_feature_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_final_feature_relationship
760,machining_fixture_usage,加工夹具用法,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_fixture_usage,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_fixture_usage
761,machining_functions,加工函数,NC / 数控加工（CAM） / 表达式 / 数学 / 矩阵,制造 / 工艺规划（CAM & process planning）,aim-machining_functions,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_functions
762,machining_functions_relationship,加工函数关系,NC / 数控加工（CAM） / 表达式 / 数学 / 矩阵,制造 / 工艺规划（CAM & process planning）,aim-machining_functions_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_functions_relationship
763,machining_machine_usage,加工机床用法,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_machine_usage,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_machine_usage
764,machining_nc_function,加工数控函数,NC / 数控加工（CAM） / 表达式 / 数学 / 矩阵,制造 / 工艺规划（CAM & process planning）,aim-machining_nc_function,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_nc_function
765,machining_offset_vector_representation,加工偏置向量表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_offset_vector_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_offset_vector_representation
766,machining_operation,加工操作,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_operation
767,machining_operation_relationship,加工操作关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_operation_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_operation_relationship
768,machining_operator_instruction,加工运算符指令,NC / 数控加工（CAM） / 表达式 / 数学 / 矩阵,制造 / 工艺规划（CAM & process planning）,aim-machining_operator_instruction,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_operator_instruction
769,machining_operator_instruction_relationship,加工运算符指令关系,NC / 数控加工（CAM） / 表达式 / 数学 / 矩阵,制造 / 工艺规划（CAM & process planning）,aim-machining_operator_instruction_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_operator_instruction_relationship
770,machining_process_body_relationship,加工过程体关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_body_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_body_relationship
771,machining_process_branch_relationship,加工过程分支关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_branch_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_branch_relationship
772,machining_process_concurrent_relationship,加工过程并发关系,NC / 数控加工（CAM） / 电力 / 物理量 / 计量单位,制造 / 工艺规划（CAM & process planning）,aim-machining_process_concurrent_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_concurrent_relationship
773,machining_process_executable,加工过程可执行,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_executable,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_executable
774,machining_process_model,加工过程模型,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_model,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_model
775,machining_process_model_relationship,加工过程模型关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_model_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_model_relationship
776,machining_process_property,加工过程属性,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning） / 属性 / 特征化（property & characterization）,aim-machining_process_property,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_property
777,machining_process_sequence_relationship,加工过程序列关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_process_sequence_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_process_sequence_relationship
778,machining_project,加工项目,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,aim-machining_project,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_project
779,machining_project_workpiece_relationship,加工项目工件关系,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,aim-machining_project_workpiece_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_project_workpiece_relationship
780,machining_rapid_movement,加工快速移动,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_rapid_movement,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_rapid_movement
781,machining_setup,加工设置,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_setup,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_setup
782,machining_setup_workpiece_relationship,加工设置工件关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_setup_workpiece_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_setup_workpiece_relationship
783,machining_spindle_speed_representation,加工主轴速度表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_spindle_speed_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_spindle_speed_representation
784,machining_strategy,加工策略,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_strategy,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_strategy
785,machining_strategy_relationship,加工策略关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_strategy_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_strategy_relationship
786,machining_technology,加工技术,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_technology,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_technology
787,machining_technology_relationship,加工技术关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_technology_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_technology_relationship
788,machining_tool,加工刀具,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_tool,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_tool
789,machining_tool_body_representation,加工刀具体表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_tool_body_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_tool_body_representation
790,machining_tool_direction_representation,加工刀具方向表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_tool_direction_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_tool_direction_representation
791,machining_tool_usage,加工刀具用法,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_tool_usage,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_tool_usage
792,machining_toolpath,加工刀路,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_toolpath,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_toolpath
793,machining_toolpath_sequence_relationship,加工刀路序列关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_toolpath_sequence_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_toolpath_sequence_relationship
794,machining_toolpath_speed_profile_representation,加工刀路速度轮廓表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化 / 特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch） / 渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework）,aim-machining_toolpath_speed_profile_representation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_toolpath_speed_profile_representation
795,machining_touch_probing,加工接触探测,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_touch_probing,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_touch_probing
796,machining_twin_relationship,加工双关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_twin_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_twin_relationship
797,machining_usage_relationship,加工用法关系,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_usage_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_usage_relationship
798,machining_workingstep,加工工步,NC / 数控加工（CAM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-machining_workingstep,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_workingstep
799,machining_workplan,加工工作计划,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning）,aim-machining_workplan,https://stepmfg.github.io/ap238/data/clause5.htm#aim-machining_workplan
800,magnetic_flux_density_measure_with_unit,带单位的磁通密度值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.magnetic_flux_density_measure_with_unit
801,magnetic_flux_density_unit,磁通量密度单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.magnetic_flux_density_unit
802,magnetic_flux_measure_with_unit,带单位的磁通量值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.magnetic_flux_measure_with_unit
803,magnetic_flux_unit,磁通量单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.magnetic_flux_unit
804,make_from_usage_option,由用法选项确定的制造,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.make_from_usage_option
805,manifold_solid_brep,流形实体边界表示,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.manifold_solid_brep
806,manifold_subsurface_shape_representation,流形子曲面形状表示,渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型 / 特征 / 加工特征,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,aic_manifold_subsurface,https://www.steptools.com/stds/smrl/data/resource_docs/manifold_subsurface/sys/4_schema.htm#aic_manifold_subsurface.manifold_subsurface_shape_representation
807,manifold_surface_shape_representation,流形曲面形状表示,渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型 / 特征 / 加工特征,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,,https://www.steptools.com/stds/smrl/data/resource_docs/manifold_surface/ISO_10303-509_2001(E)-Character_PDF_document.pdf
808,mapped_item,已映射项,几何 / 拓扑 / 实体造型,元模型 / 表示框架（representation framework） / 2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.mapped_item
809,marking,标记,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.marking
810,mass_measure_with_unit,带单位的质量值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.mass_measure_with_unit
811,mass_unit,质量单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.mass_unit
812,material_designation,材料标识,材料 / 表面条件,其他 / 通用基础,material_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/4_schema.htm#material_property_definition_schema.material_designation
813,material_designation_characterization,材料标识特征化,材料 / 表面条件,其他 / 通用基础,material_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/4_schema.htm#material_property_definition_schema.material_designation_characterization
