序号,框类型,实体名,中文名,EXPRESS schema,说明链接
1709,属性引用框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
1710,属性引用框,applied_action_assignment,应用动作赋值,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
1711,属性引用框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
1712,属性引用框,action_method,动作方法,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
1713,属性引用框,action_property,动作属性,图中仅作为选择列表成员出现，无独立定义框,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1714,属性引用框,action_relationship,动作关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
1715,属性引用框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
1716,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1717,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1718,属性引用框,assembly_component_usage_substitute,装配组件用法替代,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.assembly_component_usage_substitute
1719,属性引用框,identifier,标识符,DEFINED TYPE（图中虚线框）,
1720,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1721,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1722,属性引用框,identifier,标识符,DEFINED TYPE（图中虚线框）,
1723,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1724,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1725,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1726,属性引用框,product_concept_context,产品概念上下文,application_context_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/5_schema.htm#application_context_schema.product_concept_context
1727,属性引用框,product_concept,产品概念,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept
1728,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1729,属性引用框,product_definition,产品定义,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition
1730,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1731,属性引用框,product_definition_occurrence,产品定义实例,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.product_definition_occurrence
1732,属性引用框,configuration_design,配置设计,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_design
1733,属性引用框,configuration_design,配置设计,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_design
1734,属性引用框,product_definition_relationship,产品定义关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_relationship
1735,属性引用框,configuration_effectivity,配置有效性,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_effectivity
1736,属性引用框,configuration_item,配置项,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_item
1737,属性引用框,action_relationship,动作关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
1738,属性引用框,product_definition,产品定义,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition
1739,属性引用框,configured_effectivity_assignment,已配置有效性赋值,specification_based_configuration_mim,https://www.steptools.com/stds/smrl/data/modules/specification_based_configuration/sys/5_mim.htm#specification_based_configuration_mim.configured_effectivity_assignment
1740,属性引用框,document_file,文档文件,file_identification_mim,https://www.steptools.com/stds/smrl/data/modules/file_identification/sys/5_mim.htm#file_identification_mim.document_file
1741,属性引用框,general_property,通用属性,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property
1742,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1743,属性引用框,characterized_definition,特征化定义,SELECT / 抽象超类型（图中虚线框）,
1744,属性引用框,material_designation,材料标识,material_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/4_schema.htm#material_property_definition_schema.material_designation
1745,属性引用框,organizational_project,组织项目,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.organizational_project
1746,属性引用框,product,产品,aim-product,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product
1747,属性引用框,product_concept,产品概念,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept
1748,属性引用框,identifier,标识符,DEFINED TYPE（图中虚线框）,
1749,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1750,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1751,属性引用框,product_concept_feature,产品概念特征,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept_feature
1752,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1753,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1754,属性引用框,product_concept_feature_association,产品概念特征关联,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept_feature_association
1755,属性引用框,product_concept_feature_category,产品概念特征类别,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.product_concept_feature_category
1756,属性引用框,product_class,产品类,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.product_class
1757,属性引用框,product_concept_feature_category_usage,产品概念特征类别用法,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.product_concept_feature_category_usage
1758,属性引用框,product_definition,产品定义,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition
1759,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1760,属性引用框,product_definition_relationship,产品定义关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_relationship
1761,属性引用框,product_definition_substitute,产品定义替代,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_substitute
1762,属性引用框,property_definition,属性定义,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.property_definition
1763,属性引用框,shape_aspect,形状要素,aim-shape_aspect,https://stepmfg.github.io/ap238/data/clause5.htm#aim-shape_aspect
1764,属性引用框,shape_representation,形状表示,product_property_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/23_schema.htm#product_property_representation_schema.shape_representation
1765,属性引用框,versioned_action_request,多版本动作请求,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.versioned_action_request
1766,属性引用框,applied_action_request_assignment,应用动作请求赋值,work_request_mim,https://www.steptools.com/stds/smrl/data/modules/work_request/sys/5_mim.htm#work_request_mim.applied_action_request_assignment
1767,属性引用框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
1768,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1769,属性引用框,action_property,动作属性,图中仅作为选择列表成员出现，无独立定义框,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1770,属性引用框,action_request_solution,动作请求解,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_solution
1771,属性引用框,applied_action_assignment,应用动作赋值,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
1772,属性引用框,applied_classification_assignment,应用分类赋值,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment
1773,属性引用框,applied_usage_right,应用用法右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.applied_usage_right
1774,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1775,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1776,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1777,属性引用框,certification,认证,certification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/8_schema.htm#certification_schema.certification
1778,属性引用框,class,类,classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/classification_and_set_theory/sys/4_schema.htm#classification_schema.class
1779,属性引用框,class_system,类系统,classification_with_attributes_mim,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/5_mim.htm#classification_with_attributes_mim.class_system
1780,属性引用框,configuration_design,配置设计,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_design
1781,属性引用框,configuration_effectivity,配置有效性,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_effectivity
1782,属性引用框,configuration_item,配置项,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_item
1783,属性引用框,configured_effectivity_assignment,已配置有效性赋值,specification_based_configuration_mim,https://www.steptools.com/stds/smrl/data/modules/specification_based_configuration/sys/5_mim.htm#specification_based_configuration_mim.configured_effectivity_assignment
1784,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1785,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1786,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1787,属性引用框,contract,合同,contract_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/9_schema.htm#contract_schema.contract
1788,属性引用框,date,日期,date_time_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/10_schema.htm#date_time_schema.date
1789,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1790,属性引用框,directed_action,有向动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.directed_action
1791,属性引用框,document,文档,document_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/11_schema.htm#document_schema.document
1792,属性引用框,effectivity,有效性,effectivity_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/12_schema.htm#effectivity_schema.effectivity
1793,属性引用框,executed_action,已执行动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.executed_action
1794,属性引用框,general_property,通用属性,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property
1795,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1796,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1797,属性引用框,general_property_relationship,通用属性关系,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.general_property_relationship
1798,属性引用框,group,组,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group
1799,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1800,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1801,属性引用框,group_relationship,组关系,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group_relationship
1802,属性引用框,information_usage_right,信息用法右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.information_usage_right
1803,属性引用框,material_designation,材料标识,material_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/4_schema.htm#material_property_definition_schema.material_designation
1804,属性引用框,organizational_project,组织项目,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.organizational_project
1805,属性引用框,product,产品,aim-product,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product
1806,属性引用框,product_concept,产品概念,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept
1807,属性引用框,product_concept_feature,产品概念特征,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept_feature
1808,属性引用框,product_concept_feature_association,产品概念特征关联,product_concept_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/5_schema.htm#product_concept_schema.product_concept_feature_association
1809,属性引用框,product_concept_feature_category,产品概念特征类别,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.product_concept_feature_category
1810,属性引用框,product_concept_feature_category_usage,产品概念特征类别用法,product_class_mim,https://www.steptools.com/stds/smrl/data/modules/product_class/sys/5_mim.htm#product_class_mim.product_concept_feature_category_usage
1811,属性引用框,product_definition,产品定义,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition
1812,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1813,属性引用框,identifier,标识符,DEFINED TYPE（图中虚线框）,
1814,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1815,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1816,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1817,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1818,属性引用框,product_definition_formation_relationship,产品定义形成关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_formation_relationship
1819,属性引用框,product_definition_relationship,产品定义关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_relationship
1820,属性引用框,product_definition_substitute,产品定义替代,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_substitute
1821,属性引用框,property_definition,属性定义,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.property_definition
1822,属性引用框,representation,表示,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation
1823,属性引用框,requirement_assignment,要求赋值,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.requirement_assignment
1824,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1825,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1826,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1827,属性引用框,security_classification,安全密级,security_classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/25_schema.htm#security_classification_schema.security_classification
1828,属性引用框,shape_aspect_relationship,形状要素关系,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.shape_aspect_relationship
1829,属性引用框,shape_representation,形状表示,product_property_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/23_schema.htm#product_property_representation_schema.shape_representation
1830,属性引用框,versioned_action_request,多版本动作请求,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.versioned_action_request
1831,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1832,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1833,属性引用框,applied_approval_assignment,应用批准赋值,approval_mim,https://www.steptools.com/stds/smrl/data/modules/approval/sys/5_mim.htm#approval_mim.applied_approval_assignment
1834,属性引用框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
1835,属性引用框,text,文本,DEFINED TYPE（图中虚线框）,
1836,属性引用框,measure_with_unit,带单位的量,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.measure_with_unit
1837,属性引用框,make_from_usage_option,由用法选项确定的制造,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.make_from_usage_option
1838,属性引用框,product_definition,产品定义,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition
1839,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1840,属性引用框,product_definition_formation_relationship,产品定义形成关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_formation_relationship
1841,属性引用框,product_definition_relationship,产品定义关系,product_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/21_schema.htm#product_definition_schema.product_definition_relationship
1842,属性引用框,applied_certification_assignment,应用认证赋值,certification_mim,https://www.steptools.com/stds/smrl/data/modules/certification/sys/5_mim.htm#certification_mim.applied_certification_assignment
1843,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1844,属性引用框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
1845,属性引用框,directed_action,有向动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.directed_action
1846,属性引用框,information_usage_right,信息用法右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.information_usage_right
1847,属性引用框,organization,组织,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.organization
1848,属性引用框,identifier,标识符,DEFINED TYPE（图中虚线框）,
1849,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1850,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1851,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1852,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1853,属性引用框,label,标签,DEFINED TYPE（图中虚线框）,
1854,属性引用框,person_and_organization,人员与组织,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.person_and_organization
1855,属性引用框,product,产品,aim-product,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product
1856,属性引用框,product_definition_formation,产品定义版本,aim-product_definition_formation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-product_definition_formation
1857,属性引用框,applied_contract_assignment,应用合同赋值,contract_mim,https://www.steptools.com/stds/smrl/data/modules/contract/sys/5_mim.htm#contract_mim.applied_contract_assignment
1858,属性引用框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
1859,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1860,属性引用框,action_method,动作方法,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
1861,属性引用框,action_property,动作属性,图中仅作为选择列表成员出现，无独立定义框,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1862,属性引用框,action_relationship,动作关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
1863,属性引用框,action_request_solution,动作请求解,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_solution
1864,属性引用框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
1865,属性引用框,applied_action_assignment,应用动作赋值,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
1866,属性引用框,applied_classification_assignment,应用分类赋值,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment
1867,属性引用框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
1868,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1869,属性引用框,action_method,动作方法,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
1870,属性引用框,action_property,动作属性,图中仅作为选择列表成员出现，无独立定义框,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1871,属性引用框,action_relationship,动作关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
1872,属性引用框,action_request_solution,动作请求解,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_solution
1873,属性引用框,applied_action_assignment,应用动作赋值,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
1874,属性引用框,applied_classification_assignment,应用分类赋值,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment
1875,属性引用框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
1876,属性引用框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
1877,属性引用框,action_method,动作方法,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
1878,属性引用框,action_property,动作属性,图中仅作为选择列表成员出现，无独立定义框,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1879,属性引用框,applied_identification_assignment,应用标识赋值,identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/identification_assignment/sys/5_mim.htm#identification_assignment_mim.applied_identification_assignment
1880,属性引用框,approval_status,批准状态,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_status
1881,属性引用框,class,类,classification_schema,https://www.steptools.com/stds/smrl/data/resource_docs/classification_and_set_theory/sys/4_schema.htm#classification_schema.class
1882,属性引用框,class_system,类系统,classification_with_attributes_mim,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/5_mim.htm#classification_with_attributes_mim.class_system
1883,属性引用框,configuration_item,配置项,configuration_management_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/6_schema.htm#configuration_management_schema.configuration_item
1884,属性引用框,contract,合同,contract_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/9_schema.htm#contract_schema.contract
1885,属性引用框,dimensional_size,尺寸（dimensional size）,shape_dimension_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/5_schema.htm#shape_dimension_schema.dimensional_size
1886,属性引用框,document_file,文档文件,file_identification_mim,https://www.steptools.com/stds/smrl/data/modules/file_identification/sys/5_mim.htm#file_identification_mim.document_file
1887,属性引用框,document_type,文档类型,document_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/11_schema.htm#document_schema.document_type
1888,属性引用框,effectivity,有效性,effectivity_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/12_schema.htm#effectivity_schema.effectivity
1889,属性引用框,group,组,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group
1890,属性引用框,group_relationship,组关系,group_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/15_schema.htm#group_schema.group_relationship
1891,属性引用框,information_right,信息右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.information_right
1892,属性引用框,information_usage_right,信息用法右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.information_usage_right
